taxon_sciname,taxa_group,redlist_category,catch_spp_tot,catch_spp_mean,catch_spp_std,usd_spp_tot,usd_kg_mean,usd_kg_std,prop_thr_catch,prop_thr_usd,class,cites,cms
Isurus oxyrinchus,Chondrichthyan,EN,101470.11502282033,11274.457224757814,2438.8519984542577,289009675.41366005,2.907935532127661,0.376643149114013,1.2560066562313597,1.7689933642697626,Elasmobranchii,II,II
Carcharhinus falciformis,Chondrichthyan,VU,70375.34224800403,7819.482472000448,1688.6358021497344,55331873.37269636,0.7836235364427607,0.2140415803966793,0.8711126254087128,0.3386797230536187,Elasmobranchii,II,II
Squalus acanthias,Chondrichthyan,VU,67456.17719537366,7495.130799485963,2776.9663156790293,109079977.16613697,1.6434489166786808,0.1397812620011995,0.8349789249993149,0.6676653835391739,NA,NA,II
Alopias vulpinus,Chondrichthyan,VU,21805.503970103277,2422.8337744559194,893.7672563443607,18312431.388585288,0.7912018807318336,0.21031371271393964,0.2699105852276762,0.11208818377338504,Elasmobranchii,II,II
Sphyrna lewini,Chondrichthyan,EN,11547.268201772033,1283.0298001968924,175.38212314833407,7341174.334982391,0.6506772242122696,0.29916625755923154,0.14293317514671797,0.0449344426477894,Elasmobranchii,II,II
Alopias superciliosus,Chondrichthyan,VU,9724.577641923262,1080.5086268803625,132.126372476629,3710421.585247345,0.3746462942626962,0.11761282878486544,0.12037173944808631,0.02271104299034693,Elasmobranchii,II,II
Anguilla anguilla,Teleost,CR,8607.559544459844,956.3955049399827,292.4539734520101,85707484.84853601,9.54552007003767,2.2493940628231877,0.10654518406052794,0.5246051771391502,Actinopteri,II,II
Sphyrna mokarran,Chondrichthyan,EN,5926.557835969486,658.5064262188318,208.5108673451795,2852866.298123796,0.47739330902907595,0.048596795596743965,0.0733594919927282,0.01746205051199924,Elasmobranchii,II,II
Lamna nasus,Chondrichthyan,VU,3486.2318240361456,387.35909155957177,234.79528202312443,12301235.306899019,3.414452613422643,0.5546594237042615,0.04315290640175414,0.07529437759853197,Elasmobranchii,II,II
Isurus paucus,Chondrichthyan,EN,2724.140867266374,302.68231858515264,75.05643184079867,2845468.365900129,1.0647884097847833,0.17387843140687842,0.033719672644787486,0.017416768661160674,Elasmobranchii,II,II
Carcharhinus obscurus,Chondrichthyan,VU,1885.124525381926,209.4582805979918,30.40552854280036,2879978.8373448504,1.5187591486177021,0.31550166608575103,0.02333424921389107,0.01762800309438909,NA,NA,II
Carcharodon carcharias,Chondrichthyan,VU,626.6769789964052,69.63077544404503,78.09104628950897,1404732.7161373752,2.0855172478140376,0.6496615361822204,0.007757066765415866,0.00859819952346898,Elasmobranchii,II,I/II
Squatina squatina,Chondrichthyan,CR,340.37180836565904,37.81908981840656,44.86409054994691,410133.7261953172,1.4341350074713402,0.5348780426123375,0.004213154353916194,0.0025103790697121276,NA,NA,I/II
Cetorhinus maximus,Chondrichthyan,VU,78.9485294320811,13.158088238680184,11.164300877179341,219793.1036008646,2.0808596253196456,1.661026256471361,9.772323451498058e-4,0.0013453270767688932,Elasmobranchii,II,I/II
Mobula mobular,Chondrichthyan,EN,78.9,11.27142857142857,18.516520937234606,41035.5,0.6658571428571428,0.316844035539795,9.766316432613408e-4,2.511733459981624e-4,Elasmobranchii,II,I/II
Acipenser sturio,Teleost,CR,74.8886,24.962866666666667,32.570615101435116,105532.63420659308,1.422730277,0.034935397238682914,9.269781556342361e-4,6.459525251470095e-4,Actinopteri,I,I/II
Rhincodon typus,Chondrichthyan,EN,18.285984,2.031776,1.1128375517783358,11619.817416381184,0.641936742611111,0.028720854079579108,2.2634563501356886e-4,7.112350087997427e-5,Elasmobranchii,II,I/II
Acipenser gueldenstaedtii,Teleost,CR,7,1.75,0.9574271077563381,8328.3225175,1.1142686747500001,0.23704794152370273,8.664666036539144e-5,5.097665760798125e-5,Actinopteri,II,II
Acipenser stellatus,Teleost,CR,1.5,0.5,0.4330127018922193,1585.32538275,1.1307356995000002,0.28750758676291427,1.8567141506869594e-5,9.703585453598346e-6,Actinopteri,II,II
