friendly_name,threat_codes
Acipenser gueldenstaedtii,"1,2,3,4,6"
Acipenser stellatus,"1,3,6"
Acipenser sturio,"2,4,6"
Alopias superciliosus,"1,2,3,4,6"
Alopias vulpinus,"1,2,3,4,6"
Alosa aestivalis,6
Alosa immaculata,"1,3,6"
Anguilla anguilla,"1,3,5,6"
Anguilla rostrata,"1,6"
Apostichopus japonicus,"1,3"
Atlantoraja cyclophora,"2,3"
Balistes capriscus,"1,3"
Bolbometopon muricatum,"3,6"
Carcharhinus albimarginatus,"1,2,3,4"
Carcharhinus dussumieri,"2,3,4"
Carcharhinus falciformis,"2,4"
Carcharhinus longimanus,"1,2,3,4"
Carcharhinus obscurus,"1,2,3,4,6"
Carcharhinus plumbeus,"1,2,3,4,6"
Carcharias taurus,"1,2,4,6"
Carcharodon carcharias,"2,3,4,5,6"
Centrophorus lusitanicus,"2,3,4"
Centrophorus squamosus,"2,4"
Cetorhinus maximus,"2,4,5,6"
Coryphaenoides rupestris,1
Cymatoceps nasutus,"1,3"
Dalatias licha,"1,2,3,4"
Dentex dentex,"1,3,6"
Dipturus batis,"2,4"
Epinephelus itajara,"1,3,4,6"
Epinephelus marginatus,"1,3"
Epinephelus morio,"1,3,6"
Epinephelus striatus,"1,3,6"
Galeorhinus galeus,"1,2,3,4"
Gymnura altavela,"2,3,4"
Hyporthodus flavolimbatus,"1,2,3"
Hyporthodus niveatus,"1,3"
Isurus oxyrinchus,"1,2,3,4,5,6"
Isurus paucus,"1,2,3,4"
Kajikia albida,"1,2,3,4"
Lamna nasus,"1,2,3,4"
Lethrinus mahsena,1
Leucoraja circularis,"2,4"
Leucoraja fullonica,"2,4"
Limulus polyphemus,"1,3,6"
Lopholatilus chamaeleonticeps,"1,6"
Lutjanus campechanus,"1,3"
Makaira nigricans,"1,2,3,4"
Megalops atlanticus,"2,3,4,6"
Merluccius senegalensis,"1,3,6"
Mobula mobular,"1,2,3,4"
Mola mola,"1,2"
Mustelus mustelus,"2,4"
Mustelus schmitti,"1,2,4"
Mycteroperca interstitialis,"1,3"
Mycteroperca microlepis,"1,3"
Nebrius ferrugineus,"2,4"
Nemipterus virgatus,1
Oxynotus centrina,2
Palinurus elephas,1
Pentanemus quinquarius,"2,3,4"
Plectropomus areolatus,"1,3,6"
Plectropomus pessuliferus,"1,3"
Pomatomus saltatrix,"1,2,3,4"
Pseudotolithus senegalensis,"1,3,6"
Pseudotolithus senegallus,"1,3,6"
Pseudupeneus prayensis,"1,2,3"
Raja undulata,"2,4"
Rhincodon typus,"1,2,3,4,6"
Rhomboplites aurorubens,"1,3,6"
Rhynchobatus djiddensis,"1,2,3,4,6"
Rostroraja alba,2
Sardinella maderensis,"1,3,6"
Sciades parkeri,"1,3"
Sphyrna lewini,"1,2,3,4,5,6"
Sphyrna mokarran,"1,2,3,4,6"
Sphyrna zygaena,"1,2,3,4,6"
Squalus acanthias,"1,2,3,4"
Squatina argentina,"2,4"
Squatina squatina,"1,2,3,4,6"
Tautoga onitis,"3,6"
Thunnus maccoyii,1
Thunnus obesus,"1,2"
Thunnus orientalis,1
Thunnus thynnus,1
Trachurus mediterraneus,"1,3"
Trachurus trachurus,"1,3"
Zearaja chilensis,"1,2,3,4"
