species_or_taxon,taxa_group,redlist_category,trade_spp_tot,usd_spp_tot,prop_thr_imports,prop_thr_usd
Trachurus trachurus,Bony Fish,VU,1588500.9480213,1670250260.9330852,40.102216994173375,22.741111061764496
Melanogrammus aeglefinus,Bony Fish,VU,1131283.125750583,1878097652.942556,28.559606116198733,25.571034658330742
Thunnus obesus,Bony Fish,VU,906696.737974641,2479329669.9213014,22.889850572302375,33.75704390006204
Squalus acanthias,Cartilaginous Fish,VU,177206.056008237,303130606.71654207,4.473623839869861,4.12724185997724
Merluccius senegalensis,Bony Fish,EN,65337.888736333,203693574.0739277,1.649476001452439,2.773367739511775
Hippoglossus hippoglossus,Bony Fish,EN,53300.512382757,555883967.138327,1.3455885664635343,7.5685777932971625
Thunnus thynnus,Bony Fish,VU,26811.141913038,213889407.06409687,0.6768558949854714,2.9121879964636332
Apostichopus japonicus,Invertebrate,EN,7540.114032287,22561195.51181436,0.19035260221924047,0.30717950765876745
Thunnus maccoyii,Bony Fish,CR,2816.218023785,12328461.48652342,0.0710963291733672,0.16785682867014826
Makaira nigricans,Bony Fish,VU,1116.992675591,2082783.085868283,0.028198839108814912,0.028357906944337104
Tetrapturus albidus,Bony Fish,VU,212.31900215,964413.3300886144,0.005360061450899112,0.013130864973934567
Epinephelus striatus,Bony Fish,CR,196.200002871,1941631.1082907375,0.004953132133280151,0.026436067520773474
Thunnus orientalis,Bony Fish,VU,112.211669045,475477.4372188052,0.002832819651084413,0.0064738114162098005
